Dataset,Model,Parameters (M),Accuracy (%),Balanced Accuracy (%),Best F1-score (Minority Class)
IML Lifecycle,DenseNet121,8.0,86.52,76.46,0.7059 (trophozoite)
IML Lifecycle,EfficientNet-B0,5.3,85.39,74.9,0.6875 (trophozoite)
IML Lifecycle,EfficientNet-B1,7.8,85.39,74.9,0.6875 (trophozoite)
IML Lifecycle,EfficientNet-B2,9.2,87.64,75.73,0.7143 (trophozoite)
IML Lifecycle,ResNet101,44.5,77.53,67.02,0.5143 (trophozoite)
IML Lifecycle,ResNet50,25.6,85.39,75.57,0.7059 (trophozoite)
MP-IDB Species,DenseNet121,8.0,98.8,87.73,1.0000 (P_malariae)
MP-IDB Species,EfficientNet-B0,5.3,98.4,88.18,1.0000 (P_malariae)
MP-IDB Species,EfficientNet-B1,7.8,98.8,93.18,1.0000 (P_malariae)
MP-IDB Species,EfficientNet-B2,9.2,98.4,82.73,1.0000 (P_malariae)
MP-IDB Species,ResNet101,44.5,98.4,82.73,1.0000 (P_malariae)
MP-IDB Species,ResNet50,25.6,98.0,75.0,1.0000 (P_malariae)
MP-IDB Stages,DenseNet121,8.0,93.65,67.31,0.8333 (schizont)
MP-IDB Stages,EfficientNet-B0,5.3,94.31,69.21,0.9231 (schizont)
MP-IDB Stages,EfficientNet-B1,7.8,90.64,69.77,0.8000 (schizont)
MP-IDB Stages,EfficientNet-B2,9.2,80.6,60.72,0.6316 (schizont)
MP-IDB Stages,ResNet101,44.5,92.98,65.69,0.8000 (schizont)
MP-IDB Stages,ResNet50,25.6,93.31,65.79,0.7500 (schizont)
