Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.988,0.984,0.988,0.984,0.984,0.98
Overall,balanced_accuracy,0.8773,0.8818,0.9318,0.8273,0.8273,0.75
P_falciparum,precision,1.0,1.0,1.0,1.0,1.0,1.0
P_falciparum,recall,1.0,1.0,1.0,1.0,1.0,1.0
P_falciparum,f1_score,1.0,1.0,1.0,1.0,1.0,1.0
P_falciparum,support,227.0,227.0,227.0,227.0,227.0,227.0
P_malariae,precision,1.0,1.0,1.0,1.0,1.0,1.0
P_malariae,recall,1.0,1.0,1.0,1.0,1.0,1.0
P_malariae,f1_score,1.0,1.0,1.0,1.0,1.0,1.0
P_malariae,support,7.0,7.0,7.0,7.0,7.0,7.0
P_ovale,precision,0.75,0.5714,0.625,0.6667,0.6667,0.0
P_ovale,recall,0.6,0.8,1.0,0.4,0.4,0.0
P_ovale,f1_score,0.6667,0.6667,0.7692,0.5,0.5,0.0
P_ovale,support,5.0,5.0,5.0,5.0,5.0,5.0
P_vivax,precision,0.8333,0.8889,1.0,0.7692,0.7692,0.6875
P_vivax,recall,0.9091,0.7273,0.7273,0.9091,0.9091,1.0
P_vivax,f1_score,0.8696,0.8,0.8421,0.8333,0.8333,0.8148
P_vivax,support,11.0,11.0,11.0,11.0,11.0,11.0
