epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1085.96,0,1,1,0,0.000663551,0.000663551,0.000663551
2,1653.13,0,1,1,0,0.00119853,0.00119853,0.00119853
3,2284.75,0,1,1,0,0.0016015,0.0016015,0.0016015
4,2845.23,0,1,1,0,0.001406,0.001406,0.001406
5,3430.12,0,1,1,0,0.001208,0.001208,0.001208
6,4096.34,0,1,1,0,0.00101,0.00101,0.00101
7,5067.6,0,1,1,0,0.000812,0.000812,0.000812
8,5962.3,0,1,1,0,0.000614,0.000614,0.000614
9,6490.6,0,1,1,0,0.000416,0.000416,0.000416
10,6992.72,0,1,1,0,0.000218,0.000218,0.000218
